date,close
1974-04-15,170
1974-04-16,239
1974-04-17,340
1974-04-19,289
1974-04-20,780
1974-04-22,257
1974-04-23,578
1974-04-25,470
1974-04-26,157
1974-04-27,115
1974-04-29,240
1974-04-30,377
1974-02-05,340
1974-07-05,137
1974-08-05,147
1974-09-05,269
1974-10-05,127
1974-11-05,369
1974-05-13,236
1974-05-14,388
1974-05-16,179
1974-05-17,167
1974-05-18,147
1974-05-20,122
1974-05-21,450
1974-05-22,469
1974-05-23,140
1974-05-24,667
1974-05-25,689
1974-05-27,349
1974-05-28,447
1974-05-29,135
1974-05-30,579
1974-05-31,389
1974-01-06,189
1974-04-06,118
1974-05-06,467
1974-06-06,699
1974-07-06,349
1974-10-06,557
1974-11-06,345
1974-12-06,127
1974-06-13,579
1974-06-14,270
1974-06-15,790
1974-06-17,250
1974-06-18,369
1974-06-19,689
1974-06-20,159
1974-06-21,889
1974-06-24,790
1974-06-25,122
1974-06-26,168
1974-06-27,126
1974-06-28,156
1974-06-29,148
1974-01-07,258
1974-02-07,480
1974-03-07,129
1974-04-07,267
1974-06-07,390
1974-08-07,168
1974-09-07,680
1974-10-07,680
1974-11-07,140
1974-12-07,568
1974-07-13,268
1974-07-15,446
1974-07-16,369
1974-07-17,133
1974-07-18,289
1974-07-19,169
1974-07-20,779
1974-07-22,136
1974-07-23,346
1974-07-24,489
1974-07-25,558
1974-07-26,558
1974-07-27,579
1974-07-29,369
1974-07-30,290
1974-07-31,245
1974-01-08,447
1974-02-08,260
1974-03-08,245
1974-05-08,127
1974-06-08,278
1974-07-08,256
1974-08-08,388
1974-09-08,250
1974-10-08,246
1974-12-08,579
1974-08-13,114
1974-08-14,390
1974-08-16,144
1974-08-17,599
1974-08-19,678
1974-08-20,117
1974-08-22,239
1974-08-23,100
1974-08-24,237
1974-08-26,468
1974-08-27,256
1974-08-28,580
1974-08-29,790
1974-08-30,245
1974-08-31,670
1974-02-09,145
1974-03-09,137
1974-04-09,160
1974-05-09,379
1974-06-09,478
1974-07-09,346
1974-09-09,130
1974-10-09,390
1974-11-09,245
1974-12-09,567
1974-09-14,578
1974-09-16,246
1974-09-17,157
1974-09-19,289
1974-09-20,360
1974-09-21,550
1974-09-23,156
1974-09-24,123
1974-09-25,800
1974-09-26,458
1974-09-27,126
1974-09-28,240
1974-09-30,668
1974-01-10,238
1974-02-10,470
1974-03-10,345
1974-04-10,790
1974-05-10,366
1974-07-10,449
1974-08-10,899
1974-09-10,229
1974-10-10,570
1974-11-10,169
1974-12-10,220
1974-10-14,237
1974-10-15,240
1974-10-16,588
1974-10-17,134
1974-10-18,123
1974-10-28,247
1974-10-29,449
1974-10-31,367
1974-01-11,568
1974-02-11,169
1974-04-11,156
1974-05-11,237
1974-06-11,340
1974-07-11,370
1974-08-11,156
1974-09-11,570
1974-11-11,349
1974-12-11,227
1974-11-14,358
1974-11-15,169
1974-11-16,467
1974-11-18,234
1974-11-19,899
1974-11-20,568
1974-11-21,355
1974-11-22,467
1974-11-23,460
1974-11-25,236
1974-11-26,167
1974-11-27,239
1974-11-28,255
1974-11-29,330
1974-11-30,170
1974-02-12,560
1974-03-12,400
1974-04-12,278
1974-05-12,226
1974-06-12,125
1974-07-12,389
1974-09-12,346
1974-10-12,678
1974-11-12,389
1974-12-12,279
1974-12-13,258
1974-12-14,120
1974-12-23,237
1974-12-24,399
1974-12-26,268
1974-12-27,240
1974-12-28,346
1974-12-30,119
1974-12-31,569
1975-02-01,110
1975-03-01,288
1975-04-01,789
1975-06-01,299
1975-07-01,450
1975-08-01,266
1975-09-01,148
1975-10-01,360
1975-11-01,356
1975-01-13,790
1975-01-14,490
1975-01-15,349
1975-01-16,160
1975-01-17,367
1975-01-18,560
1975-01-20,133
1975-01-21,160
1975-01-22,469
1975-01-24,189
1975-01-25,480
1975-01-27,470
1975-01-28,467
1975-01-29,130
1975-01-30,126
1975-01-31,157
1975-01-02,112
1975-03-02,260
1975-04-02,149
1975-05-02,457
1975-06-02,256
1975-07-02,119
1975-08-02,567
1975-10-02,126
1975-11-02,145
1975-12-02,667
1975-02-13,355
1975-02-14,789
1975-02-15,245
1975-02-17,799
1975-02-18,237
1975-02-19,570
1975-02-20,290
1975-02-21,890
1975-02-22,779
1975-02-24,357
1975-02-25,480
1975-02-26,190
1975-02-27,779
1975-02-28,500
1975-01-03,590
1975-03-03,558
1975-04-03,467
1975-05-03,590
1975-06-03,889
1975-07-03,258
1975-08-03,158
1975-10-03,579
1975-11-03,228
1975-12-03,139
1975-03-13,678
1975-03-14,479
1975-03-15,136
1975-03-17,266
1975-03-18,558
1975-03-19,189
1975-03-20,130
1975-03-21,459
1975-03-22,880
1975-03-24,449
1975-03-25,290
1975-03-26,356
1975-03-27,689
1975-03-29,189
1975-03-31,288
1975-01-04,190
1975-02-04,780
1975-03-04,678
1975-04-04,137
1975-05-04,899
1975-04-14,469
1975-04-15,599
1975-04-16,468
1975-04-17,357
1975-04-18,468
1975-04-19,588
1975-04-21,379
1975-04-22,267
1975-04-23,250
1975-04-25,250
1975-04-26,256
1975-04-28,138
1975-04-29,779
1975-04-30,670
1975-02-05,570
1975-03-05,455
1975-05-05,357
1975-06-05,130
1975-07-05,159
1975-08-05,230
1975-09-05,135
1975-10-05,268
1975-12-05,590
1975-05-14,677
1975-05-15,136
1975-05-16,478
1975-05-17,589
1975-05-19,559
1975-05-20,370
1975-05-21,330
1975-05-22,257
1975-05-23,155
1975-05-24,347
1975-05-26,990
1975-05-27,689
1975-05-28,268
1975-05-29,118
1975-05-30,780
1975-05-31,288
1975-02-06,678
1975-03-06,569
1975-04-06,456
1975-05-06,246
1975-06-06,368
