DATE,OPEN,HIGH,LOW,CLOSE,NO.OFSHARES,NO.OFTRADES
12-07-2022,434.00,435.00,428.00,430.25,301480,7278
11-07-2022,438.85,441.15,433.35,437.00,852916,22398
08-07-2022,436.10,443.80,429.50,441.60,816584,13938
07-07-2022,420.00,432.90,419.20,430.80,645110,11753
06-07-2022,414.00,417.25,410.80,416.30,656422,16568
05-07-2022,415.80,418.75,410.15,412.00,510971,11283
04-07-2022,411.60,415.00,404.80,408.35,386582,9474
01-07-2022,411.30,414.55,402.15,412.70,549570,12072
30-06-2022,418.90,424.00,410.25,411.70,852402,20243
29-06-2022,412.20,420.00,411.95,417.00,384428,9294
28-06-2022,412.00,418.00,409.10,417.05,711556,16221
27-06-2022,416.00,419.15,412.35,414.55,579734,10615
24-06-2022,410.00,412.80,406.15,409.20,922179,18596
23-06-2022,395.10,409.70,394.75,407.20,1091420,15517
22-06-2022,397.30,397.30,390.55,393.00,967329,18925
21-06-2022,389.00,399.00,386.85,397.60,1509808,26880
20-06-2022,390.10,392.95,376.70,382.75,1356242,39641
17-06-2022,388.50,394.35,382.55,389.15,1972203,48462
16-06-2022,420.00,420.95,390.20,393.00,833047,17447
15-06-2022,409.95,416.30,409.05,413.85,789444,10793
14-06-2022,403.55,411.90,397.65,405.05,1399281,30485
13-06-2022,416.55,418.30,405.70,406.70,1389733,45349
10-06-2022,422.35,428.80,422.00,428.20,733978,14594
09-06-2022,432.60,435.75,426.30,428.55,445859,8473
08-06-2022,438.25,440.30,431.90,435.60,856012,18409
07-06-2022,432.35,438.00,429.00,435.95,623469,15401
06-06-2022,428.30,433.80,424.50,432.35,745310,19694
03-06-2022,444.10,445.00,430.50,431.90,433375,9526
02-06-2022,445.35,445.50,435.65,439.00,769591,19377
01-06-2022,444.20,446.00,439.60,444.70,1065088,22509
31-05-2022,443.95,449.50,440.45,443.85,724480,13708
30-05-2022,436.35,445.00,436.35,442.30,1810939,35888
27-05-2022,424.00,433.00,424.00,429.60,1738708,32826
26-05-2022,421.40,422.55,404.95,420.70,1167082,24443
25-05-2022,428.80,428.95,413.60,417.05,509378,8254
24-05-2022,422.30,427.50,416.00,425.60,1123617,22290
23-05-2022,421.10,431.10,419.70,421.60,693741,11490
20-05-2022,410.00,421.35,409.20,417.95,1687548,32120
19-05-2022,400.00,407.00,396.40,398.75,788812,14749
18-05-2022,426.40,427.45,414.05,415.10,736031,13307
17-05-2022,409.70,425.80,404.95,424.10,919224,15787
16-05-2022,411.00,411.85,396.20,405.30,1656060,30907
13-05-2022,386.30,415.75,386.30,404.35,2941553,35815
